subject	 trial	 soa	 response

ah 	1 	-0.25 	0
ah 	2 	0.2 	1
ah 	3 	0.15 	1
ah 	4 	0.25 	1
ah 	5 	-0.15 	1
ah 	6 	-0.05 	1
ah 	7 	0.1 	1
ah 	8 	0.05 	0
ah 	9 	0.0 	1
ah 	10 	-0.2 	1
ah 	11 	-0.1 	0
ah 	12 	-0.05 	1
ah 	13 	-0.15 	1
ah 	14 	0.2 	1
ah 	15 	0.25 	1
ah 	16 	-0.1 	0
ah 	17 	0.05 	0
ah 	18 	-0.25 	0
ah 	19 	-0.2 	1
ah 	20 	0.1 	1
ah 	21 	0.15 	0
ah 	22 	0.0 	0
ah 	23 	-0.15 	1
ah 	24 	0.15 	1
ah 	25 	-0.05 	0
ah 	26 	-0.2 	0
ah 	27 	0.05 	1
ah 	28 	0.2 	1
ah 	29 	0.1 	1
ah 	30 	-0.1 	1
ah 	31 	0.0 	1
ah 	32 	-0.25 	0
ah 	33 	0.25 	1
ah 	34 	0.2 	1
ah 	35 	-0.2 	0
ah 	36 	-0.15 	1
ah 	37 	-0.25 	0
ah 	38 	0.15 	1
ah 	39 	-0.1 	0
ah 	40 	0.05 	1
ah 	41 	-0.05 	1
ah 	42 	0.1 	1
ah 	43 	0.25 	1
ah 	44 	0.0 	0
ah 	45 	-0.2 	0
ah 	46 	0.0 	0
ah 	47 	-0.05 	0
ah 	48 	-0.1 	0
ah 	49 	0.05 	1
ah 	50 	-0.15 	0
ah 	51 	-0.25 	0
ah 	52 	0.2 	1
ah 	53 	0.25 	1
ah 	54 	0.1 	1
ah 	55 	0.15 	1
ah 	56 	-0.05 	0
ah 	57 	-0.15 	0
ah 	58 	0.05 	0
ah 	59 	0.2 	1
ah 	60 	0.25 	1
ah 	61 	0.0 	1
ah 	62 	-0.1 	0
ah 	63 	-0.25 	0
ah 	64 	0.15 	1
ah 	65 	-0.2 	0
ah 	66 	0.1 	1
ah 	67 	0.25 	1
ah 	68 	0.1 	1
ah 	69 	0.05 	0
ah 	70 	-0.2 	0
ah 	71 	0.2 	1
ah 	72 	0.0 	0
ah 	73 	-0.05 	0
ah 	74 	-0.25 	0
ah 	75 	-0.15 	0
ah 	76 	-0.1 	0
ah 	77 	0.15 	1
ah 	78 	0.0 	1
ah 	79 	0.2 	1
ah 	80 	-0.25 	0
ah 	81 	0.25 	0
ah 	82 	-0.1 	0
ah 	83 	0.1 	1
ah 	84 	-0.2 	0
ah 	85 	0.15 	0
ah 	86 	-0.05 	1
ah 	87 	-0.15 	0
ah 	88 	0.05 	0
ah 	89 	0.2 	0
ah 	90 	-0.25 	0
ah 	91 	-0.1 	0
ah 	92 	-0.05 	1
ah 	93 	0.0 	0
ah 	94 	-0.15 	0
ah 	95 	0.25 	1
ah 	96 	0.15 	1
ah 	97 	0.05 	0
ah 	98 	0.1 	0
ah 	99 	-0.2 	0
ah 	100 	-0.05 	1
ah 	101 	0.25 	1
ah 	102 	-0.2 	0
ah 	103 	0.0 	0
ah 	104 	-0.25 	0
ah 	105 	0.1 	1
ah 	106 	0.15 	1
ah 	107 	0.05 	1
ah 	108 	-0.15 	0
ah 	109 	0.2 	1
ah 	110 	-0.1 	1
ah 	111 	-0.1 	0
ah 	112 	0.0 	1
ah 	113 	0.05 	0
ah 	114 	-0.05 	1
ah 	115 	-0.25 	1
ah 	116 	0.2 	1
