subject	 trial	 soa	 response

dl 	1 	0.0 	1
dl 	2 	-0.05 	1
dl 	3 	0.1 	0
dl 	4 	0.2 	0
dl 	5 	0.25 	0
dl 	6 	-0.2 	0
dl 	7 	-0.25 	0
dl 	8 	-0.15 	1
dl 	9 	-0.1 	1
dl 	10 	0.15 	0
dl 	11 	0.05 	0
dl 	12 	0.15 	0
dl 	13 	-0.05 	1
dl 	14 	0.0 	1
dl 	15 	-0.25 	0
dl 	16 	-0.15 	0
dl 	17 	0.1 	0
dl 	18 	0.2 	0
dl 	19 	-0.1 	1
dl 	20 	0.25 	0
dl 	21 	0.05 	1
dl 	22 	-0.2 	0
dl 	23 	0.25 	0
dl 	24 	-0.2 	0
dl 	25 	0.05 	1
dl 	26 	0.1 	1
dl 	27 	0.15 	1
dl 	28 	-0.1 	1
dl 	29 	0.0 	1
dl 	30 	0.2 	0
dl 	31 	-0.05 	1
dl 	32 	-0.25 	0
dl 	33 	-0.15 	1
dl 	34 	-0.25 	1
dl 	35 	0.05 	0
dl 	36 	-0.15 	1
dl 	37 	0.0 	1
dl 	38 	0.25 	0
dl 	39 	0.2 	0
dl 	40 	0.1 	1
dl 	41 	-0.1 	1
dl 	42 	-0.2 	1
dl 	43 	0.15 	0
dl 	44 	-0.05 	1
dl 	45 	-0.05 	1
dl 	46 	0.0 	1
dl 	47 	0.2 	0
dl 	48 	-0.2 	1
dl 	49 	0.15 	0
dl 	50 	0.25 	0
dl 	51 	-0.15 	1
dl 	52 	0.05 	0
dl 	53 	0.1 	1
dl 	54 	-0.25 	1
dl 	55 	-0.1 	0
dl 	56 	-0.15 	0
dl 	57 	0.15 	0
dl 	58 	0.1 	1
dl 	59 	-0.2 	1
dl 	60 	-0.1 	1
dl 	61 	0.05 	1
dl 	62 	0.2 	0
dl 	63 	-0.25 	1
dl 	64 	0.25 	0
dl 	65 	0.0 	1
dl 	66 	-0.05 	1
dl 	67 	-0.05 	1
dl 	68 	0.15 	0
dl 	69 	0.05 	1
dl 	70 	0.25 	0
dl 	71 	-0.2 	1
dl 	72 	-0.25 	1
dl 	73 	-0.1 	1
dl 	74 	0.2 	0
dl 	75 	-0.15 	1
dl 	76 	0.1 	0
dl 	77 	0.0 	1
dl 	78 	0.0 	1
dl 	79 	0.1 	1
dl 	80 	0.15 	0
dl 	81 	0.05 	0
dl 	82 	-0.15 	0
dl 	83 	0.25 	0
dl 	84 	-0.2 	0
dl 	85 	-0.1 	1
dl 	86 	-0.05 	1
dl 	87 	0.2 	0
dl 	88 	-0.25 	0
dl 	89 	0.05 	1
dl 	90 	-0.1 	1
dl 	91 	-0.25 	1
dl 	92 	-0.05 	1
dl 	93 	0.1 	0
dl 	94 	0.0 	1
dl 	95 	0.25 	0
dl 	96 	0.2 	0
dl 	97 	-0.15 	0
dl 	98 	0.15 	0
dl 	99 	-0.2 	0
dl 	100 	0.0 	1
dl 	101 	0.15 	0
dl 	102 	-0.25 	0
dl 	103 	-0.1 	1
dl 	104 	-0.15 	1
dl 	105 	0.05 	1
dl 	106 	0.1 	0
dl 	107 	0.2 	0
dl 	108 	-0.05 	1
dl 	109 	-0.2 	0
dl 	110 	0.25 	0
dl 	111 	-0.1 	1
dl 	112 	0.1 	1
dl 	113 	-0.25 	0
dl 	114 	0.2 	0
dl 	115 	0.25 	0
dl 	116 	0.15 	0
dl 	117 	-0.15 	1
dl 	118 	0.0 	1
dl 	119 	-0.05 	1
dl 	120 	-0.2 	1
dl 	121 	0.05 	1
dl 	122 	-0.15 	1
dl 	123 	-0.2 	1
dl 	124 	0.0 	1
dl 	125 	0.25 	0
dl 	126 	-0.05 	0
dl 	127 	0.15 	1
dl 	128 	-0.1 	1
dl 	129 	-0.25 	0
dl 	130 	0.2 	0
dl 	131 	0.05 	1
dl 	132 	0.1 	1
dl 	133 	-0.2 	1
dl 	134 	0.2 	0
dl 	135 	0.0 	1
dl 	136 	-0.05 	1
dl 	137 	-0.15 	0
dl 	138 	0.05 	0
dl 	139 	0.1 	0
dl 	140 	0.15 	0
dl 	141 	-0.1 	1
dl 	142 	-0.25 	0
dl 	143 	0.25 	0
dl 	144 	-0.2 	1
dl 	145 	0.25 	0
dl 	146 	0.05 	1
dl 	147 	-0.25 	1
dl 	148 	-0.1 	1
dl 	149 	-0.05 	1
dl 	150 	0.1 	0
dl 	151 	0.0 	1
dl 	152 	-0.15 	1
dl 	153 	0.15 	0
dl 	154 	0.2 	0
dl 	155 	0.05 	1
dl 	156 	0.15 	0
dl 	157 	0.2 	0
dl 	158 	0.0 	0
dl 	159 	-0.2 	0
dl 	160 	-0.25 	1
dl 	161 	-0.15 	1
dl 	162 	-0.1 	1
dl 	163 	-0.05 	1
dl 	164 	0.1 	1
dl 	165 	0.25 	0
dl 	166 	-0.1 	1
dl 	167 	0.2 	1
dl 	168 	-0.2 	0
dl 	169 	0.15 	0
dl 	170 	-0.25 	1
dl 	171 	0.05 	1
dl 	172 	0.25 	0
dl 	173 	0.0 	0
dl 	174 	-0.15 	1
dl 	175 	0.1 	0
dl 	176 	-0.05 	1
dl 	177 	-0.25 	1
dl 	178 	0.1 	0
dl 	179 	0.15 	0
dl 	180 	0.0 	1
dl 	181 	0.05 	1
dl 	182 	-0.2 	1
dl 	183 	0.2 	1
dl 	184 	-0.1 	1
dl 	185 	-0.05 	1
dl 	186 	0.25 	0
dl 	187 	-0.15 	0
dl 	188 	-0.05 	1
dl 	189 	0.25 	0
dl 	190 	0.1 	1
dl 	191 	-0.15 	0
dl 	192 	0.0 	1
dl 	193 	0.2 	0
dl 	194 	-0.25 	0
dl 	195 	-0.2 	1
dl 	196 	0.05 	0
dl 	197 	-0.1 	1
dl 	198 	0.15 	0
dl 	199 	0.05 	1
dl 	200 	-0.15 	1
dl 	201 	0.15 	0
dl 	202 	-0.25 	0
dl 	203 	-0.05 	1
dl 	204 	0.0 	1
dl 	205 	0.2 	0
dl 	206 	0.25 	0
dl 	207 	-0.2 	0
dl 	208 	-0.1 	1
dl 	209 	0.1 	1
dl 	210 	0.2 	0
dl 	211 	-0.05 	1
dl 	212 	0.15 	0
dl 	213 	-0.1 	0
dl 	214 	-0.2 	0
dl 	215 	0.05 	0
dl 	216 	-0.25 	0
dl 	217 	0.0 	1
dl 	218 	0.25 	0
dl 	219 	-0.15 	0
dl 	220 	0.1 	1
