subject	 trial	 soa	 response

dl 	1 	0.1 	1
dl 	2 	-0.2 	1
dl 	3 	0.05 	1
dl 	4 	-0.1 	0
dl 	5 	0.0 	0
dl 	6 	-0.15 	0
dl 	7 	0.15 	1
dl 	8 	0.2 	1
dl 	9 	0.25 	1
dl 	10 	-0.05 	1
dl 	11 	-0.25 	1
dl 	12 	-0.05 	0
dl 	13 	0.15 	1
dl 	14 	0.1 	1
dl 	15 	-0.2 	0
dl 	16 	0.0 	0
dl 	17 	0.25 	1
dl 	18 	-0.1 	0
dl 	19 	0.05 	1
dl 	20 	-0.15 	1
dl 	21 	0.2 	1
dl 	22 	-0.25 	1
dl 	23 	-0.25 	0
dl 	24 	0.05 	0
dl 	25 	-0.1 	0
dl 	26 	0.0 	0
dl 	27 	0.1 	1
dl 	28 	-0.15 	1
dl 	29 	0.2 	1
dl 	30 	-0.05 	0
dl 	31 	-0.2 	0
dl 	32 	0.25 	1
dl 	33 	0.15 	1
dl 	34 	-0.1 	0
dl 	35 	0.25 	1
dl 	36 	0.05 	1
dl 	37 	0.1 	1
dl 	38 	-0.15 	1
dl 	39 	-0.25 	1
dl 	40 	-0.2 	0
dl 	41 	0.15 	1
dl 	42 	0.2 	1
dl 	43 	0.0 	0
dl 	44 	-0.05 	0
dl 	45 	0.0 	0
dl 	46 	-0.1 	0
dl 	47 	0.1 	1
dl 	48 	0.15 	1
dl 	49 	-0.2 	0
dl 	50 	-0.05 	0
dl 	51 	0.25 	1
dl 	52 	0.2 	1
dl 	53 	-0.15 	1
dl 	54 	-0.25 	0
dl 	55 	0.05 	0
dl 	56 	-0.15 	0
dl 	57 	0.15 	0
dl 	58 	-0.25 	1
dl 	59 	-0.1 	0
dl 	60 	0.25 	1
dl 	61 	0.05 	1
dl 	62 	0.1 	1
dl 	63 	0.0 	1
dl 	64 	-0.05 	0
dl 	65 	0.2 	1
dl 	66 	-0.2 	0
dl 	67 	0.15 	1
dl 	68 	0.1 	1
dl 	69 	0.05 	1
dl 	70 	0.0 	0
dl 	71 	0.25 	1
dl 	72 	0.2 	1
dl 	73 	-0.2 	0
dl 	74 	-0.1 	0
dl 	75 	-0.05 	0
dl 	76 	-0.25 	0
dl 	77 	-0.15 	0
dl 	78 	-0.05 	0
dl 	79 	-0.25 	0
dl 	80 	-0.15 	1
dl 	81 	0.25 	1
dl 	82 	0.0 	0
dl 	83 	-0.2 	1
dl 	84 	0.2 	1
dl 	85 	0.1 	1
dl 	86 	-0.1 	0
dl 	87 	0.05 	0
dl 	88 	0.15 	1
dl 	89 	-0.05 	0
dl 	90 	0.05 	1
dl 	91 	0.0 	0
dl 	92 	0.15 	1
dl 	93 	-0.1 	0
dl 	94 	-0.15 	0
dl 	95 	0.2 	1
dl 	96 	0.25 	1
dl 	97 	0.1 	1
dl 	98 	-0.2 	0
dl 	99 	-0.25 	0
dl 	100 	-0.05 	0
dl 	101 	0.0 	0
dl 	102 	0.1 	1
dl 	103 	0.2 	1
dl 	104 	0.25 	1
dl 	105 	0.05 	0
dl 	106 	-0.2 	0
dl 	107 	-0.15 	0
dl 	108 	0.15 	1
dl 	109 	-0.1 	0
dl 	110 	-0.25 	0
dl 	111 	-0.2 	0
dl 	112 	-0.05 	0
dl 	113 	0.05 	1
dl 	114 	0.15 	1
dl 	115 	0.2 	1
dl 	116 	0.1 	1
dl 	117 	0.0 	0
dl 	118 	-0.1 	0
dl 	119 	-0.25 	0
dl 	120 	-0.15 	0
dl 	121 	0.25 	1
dl 	122 	0.1 	1
dl 	123 	0.25 	1
dl 	124 	-0.2 	1
dl 	125 	0.05 	0
dl 	126 	-0.15 	0
dl 	127 	0.0 	0
dl 	128 	-0.05 	0
dl 	129 	0.2 	1
dl 	130 	0.15 	1
dl 	131 	-0.25 	1
dl 	132 	-0.1 	0
dl 	133 	-0.25 	0
dl 	134 	0.15 	0
dl 	135 	0.1 	1
dl 	136 	-0.05 	0
dl 	137 	0.25 	1
dl 	138 	0.0 	0
dl 	139 	0.2 	1
dl 	140 	-0.1 	0
dl 	141 	0.05 	1
dl 	142 	-0.2 	1
dl 	143 	-0.15 	1
dl 	144 	-0.1 	0
dl 	145 	0.15 	1
dl 	146 	-0.2 	0
dl 	147 	0.05 	0
dl 	148 	-0.05 	0
dl 	149 	-0.25 	1
dl 	150 	-0.15 	0
dl 	151 	0.25 	1
dl 	152 	0.2 	1
dl 	153 	0.0 	0
dl 	154 	0.1 	0
dl 	155 	-0.2 	1
dl 	156 	0.05 	1
dl 	157 	-0.15 	0
dl 	158 	0.25 	1
dl 	159 	0.1 	1
dl 	160 	0.15 	1
dl 	161 	0.2 	1
dl 	162 	-0.05 	1
dl 	163 	-0.1 	0
dl 	164 	0.0 	0
dl 	165 	-0.25 	1
dl 	166 	-0.2 	1
dl 	167 	0.15 	1
dl 	168 	-0.1 	0
dl 	169 	-0.15 	0
dl 	170 	-0.25 	0
dl 	171 	0.2 	1
dl 	172 	0.1 	1
dl 	173 	0.25 	1
dl 	174 	0.0 	0
dl 	175 	0.05 	0
dl 	176 	-0.05 	0
dl 	177 	-0.2 	0
dl 	178 	0.1 	1
dl 	179 	0.2 	1
dl 	180 	-0.1 	0
dl 	181 	0.25 	1
dl 	182 	-0.15 	0
dl 	183 	0.0 	0
dl 	184 	0.05 	0
dl 	185 	-0.05 	0
dl 	186 	-0.25 	0
dl 	187 	0.15 	1
dl 	188 	0.2 	1
dl 	189 	0.05 	1
dl 	190 	0.0 	0
dl 	191 	0.1 	0
dl 	192 	-0.1 	1
dl 	193 	-0.2 	1
dl 	194 	-0.25 	1
dl 	195 	-0.05 	0
dl 	196 	0.15 	0
dl 	197 	0.25 	1
dl 	198 	-0.15 	0
dl 	199 	0.25 	1
dl 	200 	0.1 	1
dl 	201 	-0.2 	0
dl 	202 	0.05 	1
dl 	203 	-0.25 	0
dl 	204 	0.0 	0
dl 	205 	0.15 	1
dl 	206 	0.2 	1
dl 	207 	-0.05 	0
dl 	208 	-0.15 	0
dl 	209 	-0.1 	0
dl 	210 	0.25 	1
dl 	211 	0.15 	1
dl 	212 	-0.05 	0
dl 	213 	0.1 	1
dl 	214 	-0.2 	0
dl 	215 	-0.25 	0
dl 	216 	-0.15 	0
dl 	217 	0.0 	0
dl 	218 	0.2 	0
dl 	219 	0.05 	1
dl 	220 	-0.1 	0
