trial	soa	soundFirst	response	sta
1	1	1	0	0	1.2
2	2	1.2	0	0	1.2
3	3	1.6	0	1	1.2
4	4	2.4	0	0	1.2
5	5	0.8	0	0	1.2
6	6	2	0	1	1.2
7	7	0.6	0	0	1.2
8	8	2.4	0	1	1.2
9	9	0.6	0	0	1.2
10	10	0.8	0	0	1.2
11	11	1.6	0	0	1.2
12	12	1.2	0	0	1.2
13	13	1	0	0	1.2
14	14	2	0	1	1.2
15	15	1.6	0	0	1.2
16	16	2.4	0	1	1.2
17	17	0.6	0	0	1.2
18	18	1	0	0	1.2
19	19	1.2	0	0	1.2
20	20	2	0	0	1.2
21	21	0.8	0	0	1.2
22	22	1.6	0	0	1.2
23	23	1	0	0	1.2
24	24	1.2	0	0	1.2
25	25	2	0	0	1.2
26	26	2.4	0	1	1.2
27	27	0.8	0	0	1.2
28	28	0.6	0	0	1.2
29	29	2	0	1	1.2
30	30	1	0	0	1.2
31	31	1.6	0	0	1.2
32	32	0.8	0	0	1.2
33	33	2.4	0	1	1.2
34	34	1.2	0	0	1.2
35	35	0.6	0	0	1.2
36	36	1	0	0	1.2
37	37	0.8	0	0	1.2
38	38	2	0	1	1.2
39	39	2.4	0	1	1.2
40	40	1.2	0	0	1.2
41	41	1.6	0	1	1.2
42	42	0.6	0	0	1.2
43	43	2	0	1	1.2
44	44	1.2	0	0	1.2
45	45	1	0	0	1.2
46	46	0.8	0	0	1.2
47	47	0.6	0	0	1.2
48	48	1.6	0	1	1.2
49	49	2.4	0	1	1.2
50	50	0.8	0	0	1.2
51	51	1.6	0	0	1.2
52	52	0.6	0	0	1.2
53	53	1	0	0	1.2
54	54	2	0	1	1.2
55	55	2.4	0	1	1.2
56	56	1.2	0	0	1.2
57	57	1.2	0	0	1.2
58	58	0.6	0	0	1.2
59	59	1.6	0	1	1.2
60	60	2	0	1	1.2
61	61	2.4	0	1	1.2
62	62	0.8	0	0	1.2
63	63	1	0	0	1.2
64	64	1	0	0	1.2
65	65	0.8	0	0	1.2
66	66	2	0	0	1.2
67	67	0.6	0	0	1.2
68	68	2.4	0	1	1.2
69	69	1.2	0	0	1.2
70	70	1.6	0	0	1.2
71	71	0.6	0	0	1.2
72	72	2	0	1	1.2
73	73	1.2	0	0	1.2
74	74	1.6	0	0	1.2
75	75	1	0	0	1.2
76	76	0.8	0	0	1.2
77	77	2.4	0	1	1.2
78	78	2	0	1	1.2
79	79	1.6	0	1	1.2
80	80	1.2	0	0	1.2
81	81	1	0	0	1.2
82	82	2.4	0	1	1.2
83	83	0.6	0	0	1.2
84	84	0.8	0	0	1.2
85	85	1	0	0	1.2
86	86	1.2	0	1	1.2
87	87	2	0	1	1.2
88	88	1.6	0	0	1.2
89	89	2.4	0	1	1.2
90	90	0.6	0	0	1.2
91	91	0.8	0	0	1.2
92	92	1	0	0	1.2
93	93	1.2	0	1	1.2
94	94	1.6	0	1	1.2
95	95	0.8	0	0	1.2
96	96	0.6	0	0	1.2
97	97	2	0	0	1.2
98	98	2.4	0	1	1.2
99	99	1.6	0	0	1.2
100	100	1.2	0	0	1.2
101	101	2	0	1	1.2
102	102	0.8	0	0	1.2
103	103	2.4	0	1	1.2
104	104	1	0	0	1.2
105	105	0.6	0	0	1.2
106	106	2	0	1	1.2
107	107	1.2	0	0	1.2
108	108	0.8	0	0	1.2
109	109	1	0	0	1.2
110	110	2.4	0	1	1.2
111	111	0.6	0	0	1.2
112	112	1.6	0	1	1.2
113	113	2	0	1	1.2
114	114	0.8	0	0	1.2
115	115	1.2	0	0	1.2
116	116	2.4	0	1	1.2
117	117	0.6	0	0	1.2
118	118	1.6	0	1	1.2
119	119	1	0	0	1.2
120	120	0.6	0	0	1.2
121	121	1	0	0	1.2
122	122	2.4	0	1	1.2
123	123	0.8	0	0	1.2
124	124	1.6	0	0	1.2
125	125	2	0	0	1.2
126	126	1.2	0	0	1.2
127	127	2	0	1	1.2
128	128	2.4	0	1	1.2
129	129	0.8	0	0	1.2
130	130	0.6	0	1	1.2
131	131	1.6	0	1	1.2
132	132	1	0	0	1.2
133	133	1.2	0	0	1.2
134	134	2	0	0	1.2
135	135	2.4	0	1	1.2
136	136	1.2	0	0	1.2
137	137	1.6	0	0	1.2
138	138	0.8	0	0	1.2
139	139	1	0	0	1.2
140	140	0.6	0	0	1.2
141	1	1.2	1	0	1.2
142	2	2	1	1	1.2
143	3	1.6	1	0	1.2
144	4	1	1	0	1.2
145	5	2.4	1	0	1.2
146	6	0.6	1	0	1.2
147	7	0.8	1	0	1.2
148	8	0.8	1	0	1.2
149	9	1.2	1	1	1.2
150	10	2.4	1	1	1.2
151	11	2	1	1	1.2
152	12	0.6	1	0	1.2
153	13	1.6	1	1	1.2
154	14	1	1	1	1.2
155	15	1.6	1	0	1.2
156	16	2.4	1	1	1.2
157	17	1.2	1	1	1.2
158	18	1	1	0	1.2
159	19	0.6	1	0	1.2
160	20	2	1	1	1.2
161	21	0.8	1	0	1.2
162	22	1.6	1	1	1.2
163	23	1	1	0	1.2
164	24	2	1	1	1.2
165	25	0.6	1	0	1.2
166	26	0.8	1	0	1.2
167	27	1.2	1	0	1.2
168	28	2.4	1	1	1.2
169	29	2	1	1	1.2
170	30	0.8	1	0	1.2
171	31	1.2	1	0	1.2
172	32	2.4	1	1	1.2
173	33	1.6	1	1	1.2
174	34	1	1	0	1.2
175	35	0.6	1	0	1.2
176	36	1.6	1	1	1.2
177	37	0.6	1	0	1.2
178	38	1.2	1	0	1.2
179	39	1	1	0	1.2
180	40	2	1	1	1.2
181	41	2.4	1	1	1.2
182	42	0.8	1	0	1.2
183	43	2	1	0	1.2
184	44	0.8	1	0	1.2
185	45	1.6	1	0	1.2
186	46	1	1	0	1.2
187	47	2.4	1	1	1.2
188	48	0.6	1	0	1.2
189	49	1.2	1	0	1.2
190	50	1.2	1	0	1.2
191	51	0.8	1	0	1.2
192	52	1	1	0	1.2
193	53	2.4	1	1	1.2
194	54	2	1	1	1.2
195	55	1.6	1	0	1.2
196	56	0.6	1	0	1.2
197	57	1.6	1	1	1.2
198	58	2.4	1	1	1.2
199	59	0.6	1	0	1.2
200	60	0.8	1	0	1.2
201	61	2	1	1	1.2
202	62	1.2	1	0	1.2
203	63	1	1	0	1.2
204	64	1	1	0	1.2
205	65	1.6	1	1	1.2
206	66	0.6	1	0	1.2
207	67	1.2	1	0	1.2
208	68	2.4	1	0	1.2
209	69	0.8	1	0	1.2
210	70	2	1	1	1.2
211	71	1.2	1	0	1.2
212	72	2	1	1	1.2
213	73	1	1	0	1.2
214	74	0.8	1	0	1.2
215	75	0.6	1	0	1.2
216	76	1.6	1	1	1.2
217	77	2.4	1	1	1.2
218	78	1.2	1	0	1.2
219	79	0.8	1	0	1.2
220	80	1.6	1	1	1.2
221	81	0.6	1	0	1.2
222	82	1	1	0	1.2
223	83	2	1	1	1.2
224	84	2.4	1	1	1.2
225	85	0.8	1	0	1.2
226	86	0.6	1	0	1.2
227	87	1	1	0	1.2
228	88	2	1	1	1.2
229	89	1.6	1	0	1.2
230	90	1.2	1	0	1.2
231	91	2.4	1	1	1.2
232	92	2.4	1	1	1.2
233	93	1.6	1	0	1.2
234	94	1.2	1	0	1.2
235	95	0.8	1	0	1.2
236	96	1	1	0	1.2
237	97	0.6	1	0	1.2
238	98	2	1	1	1.2
239	99	1.6	1	0	1.2
240	100	1	1	0	1.2
241	101	2	1	1	1.2
242	102	0.6	1	0	1.2
243	103	0.8	1	0	1.2
244	104	2.4	1	1	1.2
245	105	1.2	1	0	1.2
246	106	0.8	1	0	1.2
247	107	1	1	0	1.2
248	108	1.6	1	0	1.2
249	109	2	1	1	1.2
250	110	1.2	1	0	1.2
251	111	2.4	1	1	1.2
252	112	0.6	1	0	1.2
253	113	2	1	1	1.2
254	114	0.6	1	0	1.2
255	115	0.8	1	0	1.2
256	116	1	1	0	1.2
257	117	2.4	1	1	1.2
258	118	1.6	1	1	1.2
259	119	1.2	1	0	1.2
260	120	1.2	1	0	1.2
261	121	1	1	0	1.2
262	122	2	1	1	1.2
263	123	2.4	1	1	1.2
264	124	1.6	1	1	1.2
265	125	0.8	1	0	1.2
266	126	0.6	1	0	1.2
267	127	1.6	1	1	1.2
268	128	0.8	1	0	1.2
269	129	2	1	1	1.2
270	130	1.2	1	0	1.2
271	131	2.4	1	1	1.2
272	132	0.6	1	0	1.2
273	133	1	1	0	1.2
274	134	1.6	1	0	1.2
275	135	0.6	1	0	1.2
276	136	2	1	1	1.2
277	137	0.8	1	0	1.2
278	138	1	1	0	1.2
279	139	2.4	1	1	1.2
280	140	1.2	1	0	1.2
281	1	2	1	0	1.2
282	2	0.8	1	0	1.2
283	3	2.4	1	1	1.2
284	4	1.6	1	1	1.2
285	5	1.2	1	0	1.2
286	6	1	1	0	1.2
287	7	0.6	1	0	1.2
288	8	0.6	1	0	1.2
289	9	1.2	1	1	1.2
290	10	1.6	1	1	1.2
291	11	2	1	1	1.2
292	12	2.4	1	1	1.2
293	13	0.8	1	0	1.2
294	14	1	1	0	1.2
295	15	1.6	1	1	1.2
296	16	2.4	1	1	1.2
297	17	2	1	1	1.2
298	18	1.2	1	0	1.2
299	19	1	1	0	1.2
300	20	0.8	1	0	1.2
301	21	0.6	1	0	1.2
302	22	1.2	1	0	1.2
303	23	1	1	0	1.2
304	24	1.6	1	1	1.2
305	25	2.4	1	1	1.2
306	26	0.8	1	0	1.2
307	27	2	1	1	1.2
308	28	0.6	1	0	1.2
309	29	1.2	1	0	1.2
310	30	2.4	1	1	1.2
311	31	1.6	1	1	1.2
312	32	1	1	0	1.2
313	33	2	1	1	1.2
314	34	0.8	1	0	1.2
315	35	0.6	1	0	1.2
316	36	0.6	1	0	1.2
317	37	1	1	0	1.2
318	38	1.2	1	1	1.2
319	39	2	1	1	1.2
320	40	0.8	1	0	1.2
321	41	1.6	1	1	1.2
322	42	2.4	1	1	1.2
323	43	0.6	1	0	1.2
324	44	1.2	1	1	1.2
325	45	1.6	1	1	1.2
326	46	2	1	1	1.2
327	47	1	1	0	1.2
328	48	2.4	1	1	1.2
329	49	0.8	1	0	1.2
330	50	1.2	1	0	1.2
331	51	1	1	0	1.2
332	52	2.4	1	1	1.2
333	53	2	1	1	1.2
334	54	0.8	1	0	1.2
335	55	1.6	1	0	1.2
336	56	0.6	1	0	1.2
337	57	1	1	0	1.2
338	58	2.4	1	1	1.2
339	59	0.8	1	0	1.2
340	60	1.2	1	0	1.2
341	61	2	1	1	1.2
342	62	0.6	1	0	1.2
343	63	1.6	1	1	1.2
344	64	2	1	1	1.2
345	65	1.2	1	0	1.2
346	66	0.6	1	0	1.2
347	67	2.4	1	1	1.2
348	68	0.8	1	0	1.2
349	69	1.6	1	1	1.2
350	70	1	1	0	1.2
351	71	1.2	1	0	1.2
352	72	1	1	0	1.2
353	73	0.8	1	0	1.2
354	74	2	1	1	1.2
355	75	2.4	1	1	1.2
356	76	0.6	1	0	1.2
357	77	1.6	1	0	1.2
358	78	2	1	1	1.2
359	79	1.6	1	0	1.2
360	80	2.4	1	1	1.2
361	81	0.6	1	0	1.2
362	82	1	1	0	1.2
363	83	0.8	1	0	1.2
364	84	1.2	1	0	1.2
365	85	0.6	1	0	1.2
366	86	0.8	1	0	1.2
367	87	2	1	1	1.2
368	88	2.4	1	1	1.2
369	89	1	1	1	1.2
370	90	1.2	1	0	1.2
371	91	1.6	1	1	1.2
372	92	1.6	1	1	1.2
373	93	2	1	1	1.2
374	94	2.4	1	1	1.2
375	95	1.2	1	0	1.2
376	96	0.8	1	0	1.2
377	97	0.6	1	0	1.2
378	98	1	1	0	1.2
379	99	1.6	1	1	1.2
380	100	1.2	1	1	1.2
381	101	1	1	0	1.2
382	102	0.6	1	0	1.2
383	103	0.8	1	0	1.2
384	104	2	1	1	1.2
385	105	2.4	1	1	1.2
386	106	0.8	1	0	1.2
387	107	1.2	1	1	1.2
388	108	0.6	1	0	1.2
389	109	2	1	1	1.2
390	110	1.6	1	1	1.2
391	111	1	1	1	1.2
392	112	2.4	1	1	1.2
393	113	0.8	1	0	1.2
394	114	2.4	1	1	1.2
395	115	1.2	1	0	1.2
396	116	1	1	0	1.2
397	117	1.6	1	1	1.2
398	118	0.6	1	0	1.2
399	119	2	1	1	1.2
400	120	0.6	1	0	1.2
401	121	1.2	1	0	1.2
402	122	1.6	1	1	1.2
403	123	2.4	1	1	1.2
404	124	0.8	1	0	1.2
405	125	1	1	0	1.2
406	126	2	1	1	1.2
407	127	1.6	1	1	1.2
408	128	0.8	1	0	1.2
409	129	2	1	1	1.2
410	130	1	1	1	1.2
411	131	0.6	1	0	1.2
412	132	2.4	1	1	1.2
413	133	1.2	1	0	1.2
414	134	2	1	1	1.2
415	135	1.2	1	0	1.2
416	136	0.6	1	0	1.2
417	137	2.4	1	1	1.2
418	138	0.8	1	0	1.2
419	139	1.6	1	1	1.2
420	140	1	1	0	1.2
421	1	1.2	0	0	1.2
422	2	2	0	0	1.2
423	3	2.4	0	1	1.2
424	4	0.6	0	0	1.2
425	5	1	0	0	1.2
426	6	0.8	0	0	1.2
427	7	1.6	0	0	1.2
428	8	2.4	0	1	1.2
429	9	1.2	0	0	1.2
430	10	1	0	0	1.2
431	11	2	0	1	1.2
432	12	0.8	0	0	1.2
433	13	1.6	0	0	1.2
434	14	0.6	0	0	1.2
435	15	2.4	0	1	1.2
436	16	2	0	1	1.2
437	17	1.6	0	0	1.2
438	18	1.2	0	0	1.2
439	19	1	0	0	1.2
440	20	0.8	0	0	1.2
441	21	0.6	0	0	1.2
442	22	1	0	0	1.2
443	23	1.6	0	0	1.2
444	24	2	0	1	1.2
445	25	1.2	0	0	1.2
446	26	0.6	0	0	1.2
447	27	0.8	0	0	1.2
448	28	2.4	0	1	1.2
449	29	2.4	0	1	1.2
450	30	0.6	0	0	1.2
451	31	1.6	0	0	1.2
452	32	2	0	1	1.2
453	33	1	0	0	1.2
454	34	0.8	0	0	1.2
455	35	1.2	0	0	1.2
456	36	1.2	0	0	1.2
457	37	2.4	0	1	1.2
458	38	0.6	0	0	1.2
459	39	1.6	0	0	1.2
460	40	1	0	0	1.2
461	41	0.8	0	0	1.2
462	42	2	0	1	1.2
463	43	0.8	0	0	1.2
464	44	2.4	0	1	1.2
465	45	2	0	1	1.2
466	46	0.6	0	0	1.2
467	47	1.6	0	0	1.2
468	48	1.2	0	0	1.2
469	49	1	0	0	1.2
470	50	1	0	0	1.2
471	51	1.2	0	0	1.2
472	52	2	0	1	1.2
473	53	0.6	0	0	1.2
474	54	2.4	0	1	1.2
475	55	1.6	0	0	1.2
476	56	0.8	0	0	1.2
477	57	0.8	0	0	1.2
478	58	1.2	0	0	1.2
479	59	1.6	0	0	1.2
480	60	0.6	0	0	1.2
481	61	2	0	0	1.2
482	62	2.4	0	1	1.2
483	63	1	0	0	1.2
484	64	1.2	0	0	1.2
485	65	0.8	0	0	1.2
486	66	1	0	0	1.2
487	67	0.6	0	0	1.2
488	68	2.4	0	1	1.2
489	69	1.6	0	1	1.2
490	70	2	0	1	1.2
491	71	1	0	0	1.2
492	72	0.8	0	0	1.2
493	73	2.4	0	0	1.2
494	74	1.6	0	0	1.2
495	75	1.2	0	0	1.2
496	76	2	0	1	1.2
497	77	0.6	0	0	1.2
498	78	1	0	0	1.2
499	79	2	0	1	1.2
500	80	1.6	0	0	1.2
501	81	0.8	0	0	1.2
502	82	0.6	0	0	1.2
503	83	1.2	0	0	1.2
504	84	2.4	0	1	1.2
505	85	0.6	0	0	1.2
506	86	1	0	0	1.2
507	87	2.4	0	1	1.2
508	88	0.8	0	0	1.2
509	89	1.2	0	0	1.2
510	90	2	0	1	1.2
511	91	1.6	0	0	1.2
512	92	0.8	0	0	1.2
513	93	2	0	1	1.2
514	94	2.4	0	1	1.2
515	95	0.6	0	0	1.2
516	96	1	0	0	1.2
517	97	1.2	0	0	1.2
518	98	1.6	0	1	1.2
519	99	0.8	0	0	1.2
520	100	2.4	0	1	1.2
521	101	2	0	1	1.2
522	102	1.6	0	1	1.2
523	103	1	0	0	1.2
524	104	1.2	0	0	1.2
525	105	0.6	0	0	1.2
526	106	0.8	0	0	1.2
527	107	2	0	1	1.2
528	108	1	0	0	1.2
529	109	0.6	0	0	1.2
530	110	2.4	0	1	1.2
531	111	1.6	0	0	1.2
532	112	1.2	0	0	1.2
533	113	0.6	0	0	1.2
534	114	2	0	1	1.2
535	115	1.6	0	0	1.2
536	116	2.4	0	1	1.2
537	117	1	0	0	1.2
538	118	0.8	0	0	1.2
539	119	1.2	0	0	1.2
540	120	1.2	0	0	1.2
541	121	1	0	0	1.2
542	122	0.6	0	0	1.2
543	123	2	0	1	1.2
544	124	2.4	0	1	1.2
545	125	1.6	0	1	1.2
546	126	0.8	0	0	1.2
547	127	0.8	0	0	1.2
548	128	2	0	1	1.2
549	129	2.4	0	1	1.2
550	130	1.2	0	0	1.2
551	131	1.6	0	0	1.2
552	132	1	0	0	1.2
553	133	0.6	0	0	1.2
554	134	0.6	0	0	1.2
555	135	1	0	0	1.2
556	136	2	0	1	1.2
557	137	2.4	0	1	1.2
558	138	1.2	0	0	1.2
559	139	1.6	0	1	1.2
560	140	0.8	0	0	1.2
561	1	0.8	0	1	0.6
562	2	0.4	0	0	0.6
563	3	1.2	0	1	0.6
