subject	 trial	 soa	 response

SG 	1 	-0.2 	1
SG 	2 	0.1 	0
SG 	3 	0.25 	0
SG 	4 	-0.05 	1
SG 	5 	0.05 	1
SG 	6 	0.0 	1
SG 	7 	0.15 	1
SG 	8 	0.2 	0
SG 	9 	-0.1 	1
SG 	10 	-0.25 	1
SG 	11 	-0.15 	1
SG 	12 	0.15 	1
SG 	13 	-0.25 	0
SG 	14 	-0.1 	0
SG 	15 	-0.2 	0
SG 	16 	-0.15 	1
SG 	17 	0.25 	0
SG 	18 	-0.05 	1
SG 	19 	0.05 	1
SG 	20 	0.0 	1
SG 	21 	0.2 	0
SG 	22 	0.1 	1
SG 	23 	-0.15 	1
SG 	24 	0.25 	1
SG 	25 	0.05 	1
SG 	26 	0.2 	1
SG 	27 	0.1 	1
SG 	28 	0.15 	1
SG 	29 	-0.1 	1
SG 	30 	-0.05 	0
SG 	31 	-0.2 	0
SG 	32 	-0.25 	1
SG 	33 	0.0 	1
SG 	34 	-0.05 	1
SG 	35 	-0.25 	1
SG 	36 	0.1 	1
SG 	37 	0.15 	0
SG 	38 	0.25 	0
SG 	39 	-0.1 	1
SG 	40 	-0.15 	1
SG 	41 	-0.2 	1
SG 	42 	0.0 	1
SG 	43 	0.05 	1
SG 	44 	0.2 	0
SG 	45 	0.0 	1
SG 	46 	-0.25 	1
SG 	47 	-0.05 	1
SG 	48 	-0.2 	1
SG 	49 	0.05 	1
SG 	50 	-0.1 	1
SG 	51 	0.15 	0
SG 	52 	0.2 	0
SG 	53 	0.25 	0
SG 	54 	0.1 	1
SG 	55 	-0.15 	1
SG 	56 	0.15 	1
SG 	57 	0.1 	1
SG 	58 	-0.25 	1
SG 	59 	-0.15 	1
SG 	60 	-0.2 	0
SG 	61 	0.0 	1
SG 	62 	0.2 	0
SG 	63 	0.25 	0
SG 	64 	-0.1 	1
SG 	65 	-0.05 	1
SG 	66 	0.05 	1
SG 	67 	0.15 	0
SG 	68 	-0.15 	1
SG 	69 	0.0 	1
SG 	70 	-0.05 	1
SG 	71 	-0.25 	0
SG 	72 	-0.1 	1
SG 	73 	0.1 	1
SG 	74 	0.05 	1
SG 	75 	-0.2 	1
SG 	76 	0.2 	1
SG 	77 	0.25 	1
SG 	78 	0.1 	1
SG 	79 	0.2 	0
SG 	80 	-0.05 	1
SG 	81 	-0.2 	1
SG 	82 	0.15 	1
SG 	83 	-0.1 	1
SG 	84 	-0.25 	1
SG 	85 	0.0 	1
SG 	86 	-0.15 	0
SG 	87 	0.25 	0
SG 	88 	0.05 	1
SG 	89 	-0.25 	1
SG 	90 	0.05 	1
SG 	91 	0.15 	1
SG 	92 	-0.1 	1
SG 	93 	0.25 	0
SG 	94 	-0.05 	1
SG 	95 	0.1 	0
SG 	96 	-0.15 	1
SG 	97 	0.0 	1
SG 	98 	-0.2 	0
SG 	99 	0.2 	0
SG 	100 	0.2 	1
SG 	101 	-0.1 	0
SG 	102 	0.15 	1
SG 	103 	-0.25 	1
SG 	104 	0.25 	0
SG 	105 	0.05 	0
SG 	106 	0.1 	0
SG 	107 	-0.15 	1
SG 	108 	0.0 	1
SG 	109 	-0.2 	1
SG 	110 	-0.05 	1
SG 	111 	-0.2 	1
SG 	112 	0.15 	0
SG 	113 	-0.1 	1
SG 	114 	-0.05 	1
SG 	115 	-0.25 	1
SG 	116 	-0.15 	1
SG 	117 	0.25 	1
SG 	118 	0.1 	0
SG 	119 	0.2 	1
SG 	120 	0.05 	1
SG 	121 	0.0 	1
SG 	122 	0.25 	0
SG 	123 	0.1 	1
SG 	124 	0.05 	1
SG 	125 	-0.25 	1
SG 	126 	0.15 	1
SG 	127 	0.0 	1
SG 	128 	-0.15 	1
SG 	129 	-0.1 	1
SG 	130 	0.2 	1
SG 	131 	-0.2 	1
SG 	132 	-0.05 	1
SG 	133 	0.2 	1
SG 	134 	0.25 	1
SG 	135 	-0.05 	1
SG 	136 	-0.2 	0
SG 	137 	0.0 	1
SG 	138 	0.1 	1
SG 	139 	-0.15 	0
SG 	140 	-0.1 	1
SG 	141 	0.15 	0
SG 	142 	0.05 	1
SG 	143 	-0.25 	0
SG 	144 	-0.25 	1
SG 	145 	0.25 	0
SG 	146 	0.0 	1
SG 	147 	-0.1 	0
SG 	148 	-0.2 	1
SG 	149 	-0.05 	1
SG 	150 	-0.15 	1
SG 	151 	0.1 	1
SG 	152 	0.05 	1
SG 	153 	0.2 	0
SG 	154 	0.15 	0
SG 	155 	0.05 	1
SG 	156 	0.25 	0
SG 	157 	-0.25 	1
SG 	158 	0.2 	0
SG 	159 	-0.05 	0
SG 	160 	-0.15 	1
SG 	161 	0.1 	1
SG 	162 	-0.2 	0
SG 	163 	0.0 	1
SG 	164 	0.15 	1
SG 	165 	-0.1 	1
SG 	166 	0.15 	0
SG 	167 	0.05 	1
SG 	168 	0.0 	1
SG 	169 	-0.05 	1
SG 	170 	0.1 	1
SG 	171 	0.2 	0
SG 	172 	-0.2 	0
SG 	173 	-0.1 	0
SG 	174 	0.25 	1
SG 	175 	-0.25 	0
SG 	176 	-0.15 	1
SG 	177 	0.25 	1
SG 	178 	0.2 	0
SG 	179 	0.1 	1
SG 	180 	0.0 	1
SG 	181 	-0.15 	1
SG 	182 	-0.05 	1
SG 	183 	-0.2 	0
SG 	184 	0.05 	1
SG 	185 	-0.25 	1
SG 	186 	0.15 	1
SG 	187 	-0.1 	1
SG 	188 	-0.2 	1
SG 	189 	0.15 	0
SG 	190 	-0.1 	1
SG 	191 	-0.15 	1
SG 	192 	-0.05 	1
SG 	193 	0.05 	1
SG 	194 	0.2 	0
SG 	195 	-0.25 	1
SG 	196 	0.25 	0
SG 	197 	0.1 	1
SG 	198 	0.0 	0
SG 	199 	0.25 	0
SG 	200 	0.15 	0
SG 	201 	0.2 	1
SG 	202 	-0.25 	0
SG 	203 	-0.1 	1
SG 	204 	0.1 	1
SG 	205 	-0.2 	1
SG 	206 	-0.15 	1
SG 	207 	0.0 	1
SG 	208 	-0.05 	1
SG 	209 	0.05 	1
SG 	210 	-0.05 	1
SG 	211 	0.05 	1
SG 	212 	0.25 	1
SG 	213 	-0.15 	0
SG 	214 	-0.1 	1
SG 	215 	0.2 	1
SG 	216 	0.0 	1
SG 	217 	-0.2 	1
SG 	218 	0.15 	0
SG 	219 	-0.25 	1
SG 	220 	0.1 	1
