subject	 trial	 soa	 response

SM 	1 	0.1 	0
SM 	2 	-0.1 	0
SM 	3 	-0.15 	1
SM 	4 	-0.25 	0
SM 	5 	0.0 	1
SM 	6 	0.05 	1
SM 	7 	0.2 	0
SM 	8 	0.15 	0
SM 	9 	0.25 	0
SM 	10 	-0.05 	1
SM 	11 	-0.2 	1
SM 	12 	0.0 	1
SM 	13 	-0.2 	0
SM 	14 	0.2 	0
SM 	15 	0.15 	0
SM 	16 	0.05 	1
SM 	17 	-0.15 	1
SM 	18 	0.25 	0
SM 	19 	-0.05 	1
SM 	20 	0.1 	1
SM 	21 	-0.1 	1
SM 	22 	-0.25 	1
SM 	23 	-0.25 	1
SM 	24 	-0.05 	1
SM 	25 	-0.1 	1
SM 	26 	0.05 	0
SM 	27 	0.2 	0
SM 	28 	-0.2 	0
SM 	29 	0.1 	1
SM 	30 	-0.15 	1
SM 	31 	0.0 	1
SM 	32 	0.25 	0
SM 	33 	0.15 	0
SM 	34 	-0.05 	1
SM 	35 	0.15 	0
SM 	36 	0.05 	1
SM 	37 	-0.1 	1
SM 	38 	0.2 	0
SM 	39 	-0.2 	1
SM 	40 	0.25 	0
SM 	41 	-0.25 	1
SM 	42 	-0.15 	1
SM 	43 	0.1 	0
SM 	44 	0.0 	0
SM 	45 	0.25 	0
SM 	46 	-0.15 	1
SM 	47 	0.05 	1
SM 	48 	-0.2 	1
SM 	49 	-0.25 	1
SM 	50 	0.2 	0
SM 	51 	0.1 	1
SM 	52 	-0.1 	1
SM 	53 	0.15 	0
SM 	54 	-0.05 	0
SM 	55 	0.0 	1
SM 	56 	0.0 	1
SM 	57 	-0.25 	1
SM 	58 	-0.2 	1
SM 	59 	0.1 	0
SM 	60 	0.2 	1
SM 	61 	0.15 	1
SM 	62 	-0.05 	1
SM 	63 	0.25 	0
SM 	64 	-0.1 	0
SM 	65 	-0.15 	0
SM 	66 	0.05 	1
SM 	67 	-0.1 	1
SM 	68 	0.05 	1
SM 	69 	0.0 	1
SM 	70 	-0.25 	1
SM 	71 	0.15 	0
SM 	72 	0.25 	0
SM 	73 	0.2 	0
SM 	74 	-0.2 	0
SM 	75 	-0.05 	1
SM 	76 	-0.15 	0
SM 	77 	0.1 	1
SM 	78 	-0.05 	1
SM 	79 	-0.1 	1
SM 	80 	-0.2 	1
SM 	81 	-0.15 	1
SM 	82 	0.0 	1
SM 	83 	0.2 	0
SM 	84 	0.15 	0
SM 	85 	-0.25 	0
SM 	86 	0.05 	1
SM 	87 	0.1 	1
SM 	88 	0.25 	0
SM 	89 	-0.05 	1
SM 	90 	0.15 	0
SM 	91 	0.2 	0
SM 	92 	-0.25 	1
SM 	93 	-0.2 	1
SM 	94 	0.05 	1
SM 	95 	0.1 	1
SM 	96 	0.25 	0
SM 	97 	-0.1 	1
SM 	98 	-0.15 	1
SM 	99 	0.0 	1
SM 	100 	-0.05 	1
SM 	101 	-0.25 	1
SM 	102 	0.2 	0
SM 	103 	0.05 	1
SM 	104 	-0.1 	1
SM 	105 	-0.15 	1
SM 	106 	0.1 	1
SM 	107 	0.25 	0
SM 	108 	0.0 	1
SM 	109 	0.15 	0
SM 	110 	-0.2 	1
SM 	111 	-0.05 	1
SM 	112 	-0.2 	0
SM 	113 	-0.25 	1
SM 	114 	0.25 	0
SM 	115 	-0.1 	1
SM 	116 	-0.15 	1
SM 	117 	0.1 	0
SM 	118 	0.0 	0
SM 	119 	0.2 	1
SM 	120 	0.15 	1
SM 	121 	0.05 	1
SM 	122 	-0.1 	1
SM 	123 	0.05 	1
SM 	124 	-0.05 	1
SM 	125 	-0.15 	1
SM 	126 	0.0 	1
SM 	127 	-0.2 	1
SM 	128 	0.15 	0
SM 	129 	-0.25 	1
SM 	130 	0.1 	1
SM 	131 	0.25 	0
SM 	132 	0.2 	0
SM 	133 	0.1 	0
SM 	134 	-0.15 	1
SM 	135 	0.25 	0
SM 	136 	0.05 	1
SM 	137 	0.0 	1
SM 	138 	0.2 	0
SM 	139 	0.15 	0
SM 	140 	-0.25 	0
SM 	141 	-0.1 	1
SM 	142 	-0.2 	1
SM 	143 	-0.05 	1
SM 	144 	-0.15 	1
SM 	145 	-0.2 	1
SM 	146 	0.0 	1
SM 	147 	0.25 	0
SM 	148 	-0.05 	1
SM 	149 	-0.25 	1
SM 	150 	0.1 	0
SM 	151 	0.15 	1
SM 	152 	0.2 	0
SM 	153 	0.05 	1
SM 	154 	-0.1 	1
SM 	155 	-0.25 	1
SM 	156 	0.25 	0
SM 	157 	-0.05 	1
SM 	158 	-0.1 	1
SM 	159 	0.1 	1
SM 	160 	-0.2 	0
SM 	161 	-0.15 	1
SM 	162 	0.15 	0
SM 	163 	0.05 	1
SM 	164 	0.2 	0
SM 	165 	0.0 	1
SM 	166 	0.15 	0
SM 	167 	0.05 	1
SM 	168 	-0.1 	1
SM 	169 	0.1 	1
SM 	170 	-0.15 	1
SM 	171 	0.2 	0
SM 	172 	-0.05 	1
SM 	173 	-0.25 	1
SM 	174 	0.25 	0
SM 	175 	0.0 	1
SM 	176 	-0.2 	1
SM 	177 	0.1 	0
SM 	178 	0.15 	0
SM 	179 	-0.1 	1
SM 	180 	0.25 	0
SM 	181 	0.2 	0
SM 	182 	-0.25 	0
SM 	183 	0.0 	1
SM 	184 	-0.05 	1
SM 	185 	-0.15 	0
SM 	186 	-0.2 	0
SM 	187 	0.05 	1
SM 	188 	0.2 	0
