trial	soa	soundFirst	response	sta
1	0.6	1	0	1.2
2	1	1	0	1.2
3	2	1	1	1.2
4	2.4	1	1	1.2
5	0.8	1	0	1.2
6	1.2	1	1	1.2
7	1.6	1	1	1.2
8	2.4	1	1	1.2
9	1	1	0	1.2
10	1.6	1	1	1.2
11	2	1	1	1.2
12	0.8	1	0	1.2
13	1.2	1	0	1.2
14	0.6	1	0	1.2
15	1	1	0	1.2
16	0.8	1	0	1.2
17	0.6	1	0	1.2
18	1.2	1	0	1.2
19	2.4	1	1	1.2
20	2	1	1	1.2
21	1.6	1	1	1.2
22	1	1	0	1.2
23	0.8	1	0	1.2
24	1.6	1	1	1.2
25	1.2	1	0	1.2
26	0.6	1	0	1.2
27	2	1	1	1.2
28	2.4	1	1	1.2
29	0.8	1	0	1.2
30	1.2	1	0	1.2
31	1.6	1	1	1.2
32	1	1	0	1.2
33	2	1	1	1.2
34	0.6	1	0	1.2
35	2.4	1	1	1.2
36	1	1	0	1.2
37	2	1	1	1.2
38	1.2	1	0	1.2
39	2.4	1	1	1.2
40	1.6	1	0	1.2
41	0.6	1	0	1.2
42	0.8	1	0	1.2
43	0.8	1	0	1.2
44	1.2	1	1	1.2
45	2	1	1	1.2
46	2.4	1	1	1.2
47	1	1	0	1.2
48	1.6	1	0	1.2
49	0.6	1	0	1.2
50	2.4	1	1	1.2
51	2	1	1	1.2
52	0.6	1	0	1.2
53	1.2	1	0	1.2
54	0.8	1	0	1.2
55	1	1	0	1.2
56	1.6	1	1	1.2
57	0.6	1	0	1.2
58	1.2	1	1	1.2
59	2	1	1	1.2
60	1	1	0	1.2
61	1.6	1	1	1.2
62	0.8	1	0	1.2
63	2.4	1	1	1.2
64	1.6	1	1	1.2
65	2	1	1	1.2
66	1.2	1	1	1.2
67	1	1	0	1.2
68	2.4	1	1	1.2
69	0.8	1	0	1.2
70	0.6	1	0	1.2
71	0.8	1	0	1.2
72	1.2	1	0	1.2
73	2.4	1	1	1.2
74	2	1	1	1.2
75	0.6	1	0	1.2
76	1.6	1	1	1.2
77	1	1	0	1.2
78	1.6	1	1	1.2
79	2.4	1	1	1.2
80	0.8	1	0	1.2
81	2	1	1	1.2
82	1.2	1	0	1.2
83	1	1	0	1.2
84	0.6	1	0	1.2
85	1.6	1	1	1.2
86	1.2	1	0	1.2
87	0.8	1	0	1.2
88	2.4	1	1	1.2
89	1	1	0	1.2
90	0.6	1	0	1.2
91	2	1	1	1.2
92	1.2	1	0	1.2
93	2	1	1	1.2
94	1	1	0	1.2
95	2.4	1	1	1.2
96	0.6	1	0	1.2
97	1.6	1	1	1.2
98	0.8	1	0	1.2
99	2	1	1	1.2
100	1.2	1	0	1.2
101	2.4	1	1	1.2
102	1.6	1	1	1.2
103	1	1	0	1.2
104	0.6	1	0	1.2
105	0.8	1	0	1.2
106	1.6	1	1	1.2
107	1	1	0	1.2
108	0.6	1	0	1.2
109	0.8	1	0	1.2
110	1.2	1	0	1.2
111	2	1	1	1.2
112	2.4	1	1	1.2
113	0.6	1	0	1.2
114	2	1	1	1.2
115	1.6	1	1	1.2
116	2.4	1	1	1.2
117	1	1	0	1.2
118	1.2	1	0	1.2
119	0.8	1	0	1.2
120	0.6	1	0	1.2
121	0.8	1	0	1.2
122	1	1	0	1.2
123	2	1	1	1.2
124	1.6	1	1	1.2
125	1.2	1	0	1.2
126	2.4	1	1	1.2
127	0.8	1	0	1.2
128	0.6	1	0	1.2
129	1	1	0	1.2
130	2.4	1	1	1.2
131	1.2	1	0	1.2
132	1.6	1	1	1.2
133	2	1	1	1.2
134	0.8	1	0	1.2
135	2.4	1	1	1.2
136	1.2	1	0	1.2
137	1	1	0	1.2
138	1.6	1	0	1.2
139	2	1	1	1.2
140	0.6	1	0	1.2
1	0.6	0	0	1.2
2	1.6	0	1	1.2
3	2.4	0	1	1.2
4	1	0	0	1.2
5	0.8	0	0	1.2
6	2	0	1	1.2
7	1.2	0	0	1.2
8	2.4	0	1	1.2
9	0.8	0	0	1.2
10	1	0	0	1.2
11	0.6	0	0	1.2
12	1.6	0	0	1.2
13	1.2	0	1	1.2
14	2	0	1	1.2
15	1.2	0	0	1.2
16	1	0	0	1.2
17	1.6	0	1	1.2
18	2	0	1	1.2
19	0.8	0	0	1.2
20	0.6	0	0	1.2
21	2.4	0	1	1.2
22	1.2	0	1	1.2
23	0.6	0	0	1.2
24	2	0	1	1.2
25	1.6	0	1	1.2
26	0.8	0	0	1.2
27	1	0	0	1.2
28	2.4	0	1	1.2
29	2	0	1	1.2
30	1.2	0	1	1.2
31	0.6	0	0	1.2
32	2.4	0	1	1.2
33	0.8	0	0	1.2
34	1	0	0	1.2
35	1.6	0	1	1.2
36	0.8	0	0	1.2
37	1.6	0	1	1.2
38	1	0	0	1.2
39	0.6	0	0	1.2
40	2.4	0	1	1.2
41	2	0	1	1.2
42	1.2	0	0	1.2
43	0.6	0	0	1.2
44	2.4	0	1	1.2
45	1.2	0	1	1.2
46	2	0	1	1.2
47	1	0	0	1.2
48	1.6	0	1	1.2
49	0.8	0	0	1.2
50	2.4	0	1	1.2
51	0.6	0	0	1.2
52	1	0	0	1.2
53	2	0	1	1.2
54	1.6	0	1	1.2
55	1.2	0	0	1.2
56	0.8	0	0	1.2
57	0.6	0	0	1.2
58	1	0	0	1.2
59	2.4	0	1	1.2
60	1.2	0	0	1.2
61	0.8	0	0	1.2
62	1.6	0	1	1.2
63	2	0	1	1.2
64	1	0	1	1.2
65	0.6	0	0	1.2
66	2	0	1	1.2
67	1.2	0	1	1.2
68	1.6	0	1	1.2
69	0.8	0	0	1.2
70	2.4	0	1	1.2
71	2.4	0	1	1.2
72	0.8	0	0	1.2
73	2	0	1	1.2
74	1	0	0	1.2
75	1.6	0	1	1.2
76	1.2	0	0	1.2
77	0.6	0	0	1.2
78	2	0	1	1.2
79	1.6	0	1	1.2
80	0.8	0	0	1.2
81	0.6	0	0	1.2
82	2.4	0	1	1.2
83	1.2	0	1	1.2
84	1	0	0	1.2
85	1.2	0	0	1.2
86	0.8	0	0	1.2
87	2.4	0	1	1.2
88	1.6	0	1	1.2
89	1	0	0	1.2
90	0.6	0	0	1.2
91	2	0	1	1.2
92	1	0	0	1.2
93	0.8	0	0	1.2
94	2	0	1	1.2
95	1.6	0	1	1.2
96	2.4	0	1	1.2
97	0.6	0	0	1.2
98	1.2	0	1	1.2
99	1.6	0	1	1.2
100	2.4	0	1	1.2
101	2	0	1	1.2
102	1.2	0	1	1.2
103	1	0	0	1.2
104	0.8	0	0	1.2
105	0.6	0	0	1.2
106	1.6	0	1	1.2
107	0.6	0	0	1.2
108	1.2	0	1	1.2
109	1	0	0	1.2
110	2.4	0	1	1.2
111	2	0	1	1.2
112	0.8	0	0	1.2
113	1.6	0	1	1.2
114	0.8	0	0	1.2
115	1	0	0	1.2
116	2	0	1	1.2
117	0.6	0	0	1.2
118	2.4	0	1	1.2
119	1.2	0	1	1.2
120	2	0	1	1.2
121	0.8	0	0	1.2
122	1.6	0	1	1.2
123	0.6	0	0	1.2
124	1.2	0	1	1.2
125	2.4	0	1	1.2
126	1	0	0	1.2
127	2	0	1	1.2
128	2.4	0	1	1.2
129	1	0	0	1.2
130	0.8	0	0	1.2
131	1.2	0	1	1.2
132	0.6	0	0	1.2
133	1.6	0	1	1.2
134	2.4	0	1	1.2
135	0.6	0	0	1.2
136	1	0	0	1.2
137	2	0	1	1.2
138	1.2	0	1	1.2
139	1.6	0	1	1.2
140	0.8	0	0	1.2
1	0.8	0	0	1.2
2	0.6	0	0	1.2
3	1.6	0	1	1.2
4	2.4	0	1	1.2
5	1.2	0	1	1.2
6	1	0	0	1.2
7	2	0	1	1.2
8	2	0	1	1.2
9	0.6	0	0	1.2
10	2.4	0	1	1.2
11	1	0	0	1.2
12	1.2	0	1	1.2
13	1.6	0	1	1.2
14	0.8	0	0	1.2
15	1.2	0	1	1.2
16	0.8	0	0	1.2
17	0.6	0	0	1.2
18	2.4	0	1	1.2
19	1.6	0	1	1.2
20	1	0	0	1.2
21	2	0	1	1.2
22	0.6	0	0	1.2
23	0.8	0	0	1.2
24	2	0	1	1.2
25	1.6	0	1	1.2
26	2.4	0	1	1.2
27	1	0	0	1.2
28	1.2	0	1	1.2
29	0.6	0	0	1.2
30	2.4	0	1	1.2
31	1	0	0	1.2
32	0.8	0	0	1.2
33	2	0	1	1.2
34	1.2	0	0	1.2
35	1.6	0	1	1.2
36	0.6	0	0	1.2
37	1.6	0	1	1.2
38	1	0	0	1.2
39	2	0	1	1.2
40	2.4	0	1	1.2
41	0.8	0	0	1.2
42	1.2	0	0	1.2
43	0.6	0	0	1.2
44	1.2	0	1	1.2
45	1.6	0	1	1.2
46	0.8	0	0	1.2
47	1	0	0	1.2
48	2.4	0	1	1.2
49	2	0	1	1.2
50	1	0	0	1.2
51	0.6	0	0	1.2
52	1.2	0	1	1.2
53	1.6	0	1	1.2
54	2.4	0	1	1.2
55	0.8	0	0	1.2
56	2	0	1	1.2
57	0.6	0	0	1.2
58	2	0	1	1.2
59	1.6	0	1	1.2
60	1.2	0	1	1.2
61	1	0	1	1.2
62	0.8	0	0	1.2
63	2.4	0	1	1.2
64	1	0	0	1.2
65	2.4	0	1	1.2
66	0.8	0	0	1.2
67	1.2	0	0	1.2
68	2	0	1	1.2
69	1.6	0	1	1.2
70	0.6	0	0	1.2
71	2	0	1	1.2
72	2.4	0	1	1.2
73	1.6	0	1	1.2
74	0.6	0	0	1.2
75	0.8	0	0	1.2
76	1.2	0	1	1.2
77	1	0	0	1.2
78	0.8	0	0	1.2
79	1	0	0	1.2
80	1.6	0	1	1.2
81	2	0	1	1.2
82	0.6	0	0	1.2
83	1.2	0	1	1.2
84	2.4	0	1	1.2
85	1.6	0	1	1.2
86	1.2	0	0	1.2
87	0.6	0	0	1.2
88	1	0	0	1.2
89	0.8	0	0	1.2
90	2	0	1	1.2
91	2.4	0	1	1.2
