subject	 trial	 soa	 response

sn 	1 	0.2 	1
sn 	2 	-0.1 	0
sn 	3 	0.05 	1
sn 	4 	0.25 	1
sn 	5 	-0.2 	0
sn 	6 	0.1 	1
sn 	7 	0.15 	1
sn 	8 	-0.15 	0
sn 	9 	-0.05 	0
sn 	10 	0.0 	1
sn 	11 	-0.25 	0
sn 	12 	-0.25 	0
sn 	13 	-0.15 	0
sn 	14 	0.25 	1
sn 	15 	-0.1 	0
sn 	16 	-0.2 	0
sn 	17 	-0.05 	0
sn 	18 	0.2 	1
sn 	19 	0.0 	0
sn 	20 	0.15 	1
sn 	21 	0.1 	1
sn 	22 	0.05 	0
sn 	23 	-0.25 	0
sn 	24 	0.0 	1
sn 	25 	0.2 	1
sn 	26 	0.1 	1
sn 	27 	0.25 	1
sn 	28 	0.05 	0
sn 	29 	-0.2 	0
sn 	30 	-0.15 	0
sn 	31 	0.15 	1
sn 	32 	-0.05 	0
sn 	33 	-0.1 	0
sn 	34 	-0.05 	0
sn 	35 	0.1 	1
sn 	36 	0.15 	1
sn 	37 	-0.25 	0
sn 	38 	-0.1 	0
sn 	39 	-0.15 	0
sn 	40 	0.0 	0
sn 	41 	-0.2 	0
sn 	42 	0.05 	1
sn 	43 	0.25 	1
sn 	44 	0.2 	1
sn 	45 	-0.05 	0
sn 	46 	0.1 	1
sn 	47 	0.25 	1
sn 	48 	0.05 	1
sn 	49 	-0.15 	0
sn 	50 	-0.1 	0
sn 	51 	0.15 	1
sn 	52 	0.2 	1
sn 	53 	-0.25 	0
sn 	54 	0.0 	1
sn 	55 	-0.2 	0
sn 	56 	0.25 	1
sn 	57 	-0.25 	0
sn 	58 	0.0 	1
sn 	59 	0.1 	1
sn 	60 	-0.1 	0
sn 	61 	0.15 	1
sn 	62 	0.2 	1
sn 	63 	-0.2 	0
sn 	64 	-0.05 	1
sn 	65 	-0.15 	0
sn 	66 	0.05 	1
sn 	67 	0.15 	1
sn 	68 	-0.1 	1
sn 	69 	-0.15 	0
sn 	70 	-0.25 	0
sn 	71 	0.25 	1
sn 	72 	0.05 	1
sn 	73 	0.0 	1
sn 	74 	0.1 	1
sn 	75 	0.2 	1
sn 	76 	-0.05 	0
sn 	77 	-0.2 	0
sn 	78 	-0.25 	0
